Messstellennummer,Bezirk,Auspraegung,Grundwasserleiter,Datum,Parameterwert,Einheit,Ganglinie,Klassifikation,stammdaten_link
4611,Spandau,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),22.11.2021,12.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4611
4612,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),22.11.2021,13,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4612
4640,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),03.11.2021,13.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4640
4727,Spandau,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),09.06.2021,11.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4727
4846,Spandau,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),12.10.2021,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4846
4875,Spandau,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),22.11.2021,11.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=4875
5002,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),14.10.2021,12.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5002
5003,Pankow,GW-Güte 1,Weitere,11.10.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5003
5005,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.11.2021,12.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5005
5008,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),14.10.2021,12.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5008
5009,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.11.2021,13.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5009
5010,Pankow,GW-Güte 1,Weitere,13.05.2019,14.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5010
5013,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.11.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5013
5020,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),01.11.2021,10.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5020
5022,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.10.2021,10.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5022
5025,Pankow,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),24.11.2021,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5025
5026,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),24.11.2021,13.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5026
5027,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2021,12.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5027
5032,Pankow,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),11.10.2021,12.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5032
5036,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),10.10.2018,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5036
5039,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),23.09.2021,11.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5039
5040,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),23.09.2021,9.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5040
5042,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),23.09.2021,10.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5042
5044,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),07.12.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5044
5049,Treptow-Köpenick,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),23.09.2021,10.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5049
5058,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),13.10.2021,10.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5058
5060,Pankow,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),13.10.2021,10.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5060
5066,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.10.2021,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5066
5073,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),14.10.2021,10.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5073
5074,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),01.11.2021,10.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5074
5075,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),20.10.2021,10.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5075
5076,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),20.10.2021,11,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5076
5078,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),01.11.2021,11.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5078
5086,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.10.2021,11.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5086
5090,Pankow,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),07.12.2021,11.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5090
5095,Pankow,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),24.11.2021,10.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5095
5097,Pankow,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),07.12.2021,11.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5097
5130,Treptow-Köpenick,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),15.10.2018,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5130
5138,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.11.2021,13.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5138
5140,Mitte,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),19.10.2021,15.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5140
5150,Friedrichshain-Kreuzberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2021,15.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5150
5155,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.11.2018,16,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5155
5207,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),01.11.2021,12.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5207
5255,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),07.12.2021,12.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5255
5297,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),24.11.2021,12.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5297
5306,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),22.05.2018,12.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5306
5351,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.10.2021,12.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5351
5355,Pankow,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),24.11.2021,11.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5355
5366,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),29.09.2021,13.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5366
5404,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),05.10.2021,11,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=5404
6010,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2021,14.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6010
6014,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2021,12.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6014
6016,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2021,13.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6016
6017,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),17.11.2021,12.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6017
6020,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.11.2021,14.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6020
6023,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),02.11.2021,12.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6023
6026,Mitte,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),02.11.2021,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6026
6028,Reinickendorf,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),02.11.2021,13,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6028
6038,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.11.2021,13.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6038
6047,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.11.2021,12.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6047
6056,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),29.11.2021,13.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6056
6058,Reinickendorf,GW-Güte 1,Tertiäre GW-Leiter (GWL 4),29.11.2021,14.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6058
6063,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),18.10.2021,11.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6063
6066,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),19.11.2018,15.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6066
6067,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),18.10.2021,11,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6067
6069,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),18.10.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6069
6075,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.06.2020,13.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6075
6080,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),18.10.2021,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6080
6081,Reinickendorf,GW-Güte 1,Tertiäre GW-Leiter (GWL 4),20.11.2018,12.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6081
6084,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),19.11.2018,15,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6084
6089,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2021,10.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6089
6097,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6097
6113,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),11.06.2018,13.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6113
6121,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),17.11.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6121
6504,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.10.2021,12.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6504
6510,Pankow,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.10.2021,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6510
6511,Pankow,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),05.10.2021,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6511
6515,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),14.10.2021,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6515
6518,Pankow,GW-Güte 1,Weitere,13.10.2021,11.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6518
6520,Pankow,GW-Stand + GW-Güte 5,Weitere,13.10.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6520
6522,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.10.2021,10.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6522
6533,Marzahn-Hellersdorf,GW-Güte 1,Weitere,02.07.2020,12.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6533
6534,Marzahn-Hellersdorf,GW-Stand + GW-Güte 5,Weitere,23.04.2019,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6534
6535,Marzahn-Hellersdorf,GW-Güte 1,Weitere,20.10.2021,14,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6535
6548,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.10.2021,11.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6548
6963,Friedrichshain-Kreuzberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2021,13.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=6963
7014,Tempelhof-Schöneberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.11.2021,13.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7014
7015,Tempelhof-Schöneberg,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),11.11.2021,12,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7015
7018,Tempelhof-Schöneberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),11.11.2021,10.9,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7018
7019,Tempelhof-Schöneberg,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),11.11.2021,11.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7019
7027,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),16.11.2021,14.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7027
7030,Tempelhof-Schöneberg,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),02.12.2021,12.3,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7030
7033,Charlottenburg-Wilmersdorf,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),08.03.2018,11.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7033
7034,Charlottenburg-Wilmersdorf,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),08.03.2018,10.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7034
7035,Charlottenburg-Wilmersdorf,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),08.03.2018,10.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7035
7039,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),16.11.2021,11.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7039
7042,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),28.09.2021,11.7,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7042
7044,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),09.11.2021,10.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7044
7045,Charlottenburg-Wilmersdorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),09.11.2021,11.5,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7045
7057,Neukölln,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2021,11.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7057
7062,Neukölln,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2021,11.6,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7062
7063,Neukölln,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),10.11.2021,11.8,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7063
7064,Neukölln,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2021,13,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7064
7072,Neukölln,GW-Güte 1,Hauptgrundwasserleiter (GWL 1.3 + 2),10.11.2021,12.2,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7072
7078,Neukölln,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),08.12.2021,11.4,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7078
7079,Neukölln,GW-Stand + GW-Güte 5,Elsterzeitl. GW-Leiter (GWL 3),08.12.2021,11.1,grd C,NA,keine,https://wasserportal.berlin.de/station.php?anzeige=i&stable=gws&sstation=7079
