Messstellennummer,Bezirk,Auspraegung,Grundwasserleiter,Datum,Parameterwert,Einheit,Ganglinie,Klassifikation,stammdaten_link
5167,Friedrichshain-Kreuzberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.12.2022,12.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5167&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5167
5207,Lichtenberg,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.10.2025,12.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5207&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5207
5255,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),12.11.2025,13.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5255&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5255
5297,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),12.11.2025,13.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5297&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5297
5306,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),22.05.2018,12.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5306&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5306
5351,Pankow,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),23.10.2025,13.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5351&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5351
5355,Pankow,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),27.10.2025,11.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5355&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5355
5366,Pankow,GW-Stand + GW-Güte 5,Panketalgrundwasserleiter (GWL 1.2),09.10.2025,13.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5366&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5366
5404,Pankow,"GW-Stand, tagesaktuell + GW-Güte 3",Panketalgrundwasserleiter (GWL 1.2),20.10.2025,11.30,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=5404&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=5404
6010,Mitte,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),15.12.2025,15.80,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6010&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6010
